zoneid,year,ward_code,total_pop,chinese_ethnic_count,chinese_ethnic_pct,asia_born_count,asia_born_pct,asia_born_pct_is_proxy,pop_16_74,econ_active_rate,unemployment_rate,self_employment_rate,total_hh_spaces,owner_occ_rate,council_rent_rate,private_rent_rate,overcrowd_rate,overcrowd_severe_rate,no_bath_wc_rate,no_car_rate
00BNFY0023,2001,00BNFY,231,0,0.0,0,0.0,True,159,46.54,7.55,5.66,121,14.88,50.41,18.18,3.25,0.0,16.07,71.9
00BNFY0024,2001,00BNFY,283,0,0.0,8,2.83,True,181,55.8,10.5,3.87,119,18.49,2.52,32.77,2.48,0.0,15.89,58.59
00BNFY0025,2001,00BNFY,274,0,0.0,0,0.0,True,188,46.28,4.79,5.32,135,31.11,54.07,12.59,2.27,0.0,7.2,62.41
00BNFY0026,2001,00BNFY,258,9,3.49,8,3.1,True,202,68.32,6.44,5.94,121,71.9,4.96,23.14,2.38,0.0,36.67,43.22
00BNFY0027,2001,00BNFY,202,0,0.0,9,4.46,True,135,31.11,8.89,0.0,124,6.45,79.03,8.87,0.0,0.0,2.42,75.0
00BNFY0028,2001,00BNFY,176,3,1.7,3,1.7,True,109,33.94,5.5,2.75,109,6.42,80.73,12.84,0.0,0.0,2.78,79.65
00BNFY0029,2001,00BNFY,332,6,1.81,3,0.9,True,228,67.98,2.63,6.14,127,92.91,4.72,2.36,0.0,0.0,2.44,23.2
00BNFY0030,2001,00BNFY,298,0,0.0,3,1.01,True,250,66.0,2.4,5.2,119,92.44,0.0,7.56,0.0,0.0,9.68,15.2
00BNFY0031,2001,00BNFY,324,0,0.0,0,0.0,True,213,69.01,1.41,8.92,113,94.69,0.0,5.31,2.59,0.0,5.22,15.13
00BNFY0032,2001,00BNFY,318,0,0.0,0,0.0,True,212,62.26,1.42,2.83,119,92.44,2.52,2.52,0.0,0.0,10.92,25.2
00BNFY0033,2001,00BNFY,313,3,0.96,11,3.51,True,203,60.59,2.96,6.4,125,61.6,17.6,16.0,0.0,0.0,14.18,43.28
00BNFY0034,2001,00BNFY,342,3,0.88,0,0.0,True,224,69.64,1.34,1.34,125,96.8,0.0,3.2,2.34,0.0,12.31,35.43
00BNFY0035,2001,00BNFY,279,3,1.08,12,4.3,True,191,50.26,4.71,3.66,138,28.99,36.23,23.19,0.0,0.0,6.43,62.59
00BNFY0036,2001,00BNFY,305,0,0.0,6,1.97,True,218,70.64,4.13,7.34,119,79.83,3.36,16.81,2.54,0.0,14.17,31.36
00BNFY0037,2001,00BNFY,258,0,0.0,14,5.43,True,180,67.22,6.67,7.22,122,69.67,2.46,16.39,0.0,0.0,22.66,55.2
00BNFZ0001,2001,00BNFZ,327,17,5.2,74,22.63,True,219,58.9,5.94,5.48,116,55.17,6.03,16.38,10.38,5.66,0.0,27.43
00BNFZ0002,2001,00BNFZ,234,15,6.41,30,12.82,True,169,37.87,7.69,1.78,127,12.6,68.5,13.39,4.96,2.48,7.81,68.0
00BNFZ0003,2001,00BNFZ,389,18,4.63,74,19.02,True,255,50.98,5.1,9.02,131,46.56,23.66,22.9,7.81,2.34,13.53,38.46
00BNFZ0004,2001,00BNFZ,326,11,3.37,64,19.63,True,213,32.86,5.63,4.23,144,14.58,32.64,15.28,10.27,8.22,3.85,64.03
00BNFZ0005,2001,00BNFZ,408,9,2.21,45,11.03,True,368,47.28,3.8,1.9,117,38.46,2.56,58.97,0.0,0.0,5.88,41.88
00BNFZ0006,2001,00BNFZ,396,12,3.03,103,26.01,True,286,46.5,2.1,7.34,122,31.15,2.46,53.28,8.8,2.4,15.38,55.74
00BNFZ0007,2001,00BNFZ,454,0,0.0,150,33.04,True,302,50.33,8.61,4.97,122,58.2,19.67,14.75,12.28,3.51,10.4,48.72
00BNFZ0008,2001,00BNFZ,462,7,1.52,171,37.01,True,321,45.17,4.67,6.54,122,68.03,11.48,15.57,19.08,4.58,2.52,40.16
00BNFZ0009,2001,00BNFZ,251,7,2.79,21,8.37,True,180,50.56,12.78,1.67,137,13.14,72.26,12.41,3.17,0.0,0.0,73.44
00BNFZ0010,2001,00BNFZ,364,14,3.85,43,11.81,True,218,46.33,9.63,1.38,135,11.11,74.07,8.15,13.11,2.46,5.22,59.35
