WARD_CODE,JOIN_KEY,TOTAL_RES_1981
03BNAX,03BNAX    ,16102.0
03BNAX,03BNAX    ,16102.0
03BNAX,03BNAX    ,16102.0
03BNAX,03BNAX    ,16102.0
03BNAX,03BNAX    ,16102.0
03BNAX,03BNAX    ,16102.0
03BNAX,03BNAX    ,16102.0
03BNAX,03BNAX    ,16102.0
03BNAX,03BNAX    ,16102.0
03BNAX,03BNAX    ,16102.0
03BNAX,03BNAX    ,16102.0
03BNAX,03BNAX    ,16102.0
03BNAX,03BNAX    ,16102.0
03BNAX,03BNAX    ,16102.0
03BNAX,03BNAX    ,16102.0
03BNAX,03BNAX    ,16102.0
03BNAX,03BNAX    ,16102.0
03BNAX,03BNAX    ,16102.0
03BNAX,03BNAX    ,16102.0
03BNAX,03BNAX    ,16102.0
03BNAX,03BNAX    ,16102.0
03BNAX,03BNAX    ,16102.0
03BNAX,03BNAX    ,16102.0
03BNAX,03BNAX    ,16102.0
03BNAX,03BNAX    ,16102.0
03BNAX,03BNAX    ,16102.0
03BNAX,03BNAX    ,16102.0
03BNAX,03BNAX    ,16102.0
03BNAX,03BNAX    ,16102.0
03BNAX,03BNAX    ,16102.0
03BNAX,03BNAX    ,16102.0
03BNAX,03BNAX    ,16102.0
03BNAX,03BNAX    ,16102.0
03BNAX,03BNAX    ,16102.0
03BNAX,03BNAX    ,16102.0
03BNAX,03BNAX    ,16102.0
03BNAX,03BNAX    ,16102.0
03BNAX,03BNAX    ,16102.0
03BNAY,03BNAY    ,13913.0
03BNAY,03BNAY    ,13913.0
03BNAY,03BNAY    ,13913.0
03BNAY,03BNAY    ,13913.0
03BNAY,03BNAY    ,13913.0
03BNAY,03BNAY    ,13913.0
03BNAY,03BNAY    ,13913.0
03BNAY,03BNAY    ,13913.0
03BNAY,03BNAY    ,13913.0
03BNAY,03BNAY    ,13913.0
03BNAY,03BNAY    ,13913.0
03BNAY,03BNAY    ,13913.0
03BNAY,03BNAY    ,13913.0
03BNAY,03BNAY    ,13913.0
03BNAY,03BNAY    ,13913.0
03BNAY,03BNAY    ,13913.0
03BNAY,03BNAY    ,13913.0
03BNAY,03BNAY    ,13913.0
03BNAY,03BNAY    ,13913.0
03BNAY,03BNAY    ,13913.0
03BNAY,03BNAY    ,13913.0
03BNAY,03BNAY    ,13913.0
03BNAY,03BNAY    ,13913.0
03BNAY,03BNAY    ,13913.0
03BNAY,03BNAY    ,13913.0
03BNAY,03BNAY    ,13913.0
03BNAY,03BNAY    ,13913.0
03BNAY,03BNAY    ,13913.0
03BNAY,03BNAY    ,13913.0
03BNAY,03BNAY    ,13913.0
03BNAY,03BNAY    ,13913.0
03BNAZ,03BNAZ    ,15577.0
03BNAZ,03BNAZ    ,15577.0
03BNAZ,03BNAZ    ,15577.0
03BNAZ,03BNAZ    ,15577.0
03BNAZ,03BNAZ    ,15577.0
03BNAZ,03BNAZ    ,15577.0
03BNAZ,03BNAZ    ,15577.0
03BNAZ,03BNAZ    ,15577.0
03BNAZ,03BNAZ    ,15577.0
03BNAZ,03BNAZ    ,15577.0
03BNAZ,03BNAZ    ,15577.0
03BNAZ,03BNAZ    ,15577.0
03BNAZ,03BNAZ    ,15577.0
03BNAZ,03BNAZ    ,15577.0
03BNAZ,03BNAZ    ,15577.0
03BNAZ,03BNAZ    ,15577.0
03BNAZ,03BNAZ    ,15577.0
03BNAZ,03BNAZ    ,15577.0
03BNAZ,03BNAZ    ,15577.0
03BNAZ,03BNAZ    ,15577.0
03BNAZ,03BNAZ    ,15577.0
03BNAZ,03BNAZ    ,15577.0
03BNAZ,03BNAZ    ,15577.0
03BNAZ,03BNAZ    ,15577.0
03BNAZ,03BNAZ    ,15577.0
03BNAZ,03BNAZ    ,15577.0
03BNAZ,03BNAZ    ,15577.0
03BNAZ,03BNAZ    ,15577.0
03BNAZ,03BNAZ    ,15577.0
03BNAZ,03BNAZ    ,15577.0
03BNAZ,03BNAZ    ,15577.0
03BNAZ,03BNAZ    ,15577.0
