zoneid,ward_code,year,TOTAL_RES_1991,TOTAL_MALE_1991,TOTAL_FEMALE_1991,CHINESE_ETHNIC_1991,CHINESE_ETHNIC_MALE_1991,CHINESE_ETHNIC_FEMALE_1991,PCT_CHINESE_ETHNIC_1991,CHINESE_AGE_0_4_1991,CHINESE_AGE_5_15_1991,CHINESE_AGE_16_29_1991,CHINESE_AGE_30_PENSION_1991,CHINESE_PENSIONABLE_1991,CHINESE_LIMITING_ILLNESS_1991,CHINA_BORN_1991,PCT_CHINA_BORN_1991,CHINESE_16PLUS_1991,CHINESE_ECON_ACTIVE_1991,CHINESE_UNEMPLOYED_1991,CHINESE_HOUSEHOLDS_1991,CHINESE_OVERCROWD_GT1P5_1991,CHINESE_OWNER_OCC_1991,PCT_CHINESE_OVERCROWD_1991,PCT_CHINESE_OWNER_OCC_1991
03BNGC06,03BNGC,1991,494,229,265,1,0,1,0.20242914979757085,0,0,1,0,0,0,1,0.20242914979757085,3,3,0,1,0,0,0.0,0.0
03BNGC07,03BNGC,1991,732,345,387,5,2,3,0.6830601092896175,1,2,0,2,0,0,0,0.0,4,3,0,2,0,2,0.0,100.0
03BNGC08,03BNGC,1991,530,251,279,5,1,4,0.9433962264150944,0,1,1,2,0,0,0,0.0,6,3,0,3,0,2,0.0,66.66666666666667
03BNGC09,03BNGC,1991,511,250,261,1,1,0,0.19569471624266144,1,0,0,0,0,0,0,0.0,2,2,1,1,0,1,0.0,100.0
03BNGC10,03BNGC,1991,531,244,287,4,2,2,0.7532956685499058,1,2,0,0,1,0,0,0.0,4,3,0,2,0,1,0.0,50.0
03BNGC11,03BNGC,1991,639,295,344,2,1,1,0.3129890453834116,1,1,0,0,0,0,1,0.1564945226917058,2,1,0,1,0,0,0.0,0.0
03BNGC12,03BNGC,1991,620,294,326,0,0,0,0.0,0,0,0,0,0,0,0,0.0,2,1,1,1,0,1,0.0,100.0
03BNGC13,03BNGC,1991,536,246,290,4,3,1,0.746268656716418,0,0,4,0,0,0,0,0.0,7,1,0,3,0,1,0.0,33.333333333333336
03BNGC14,03BNGC,1991,491,220,271,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,,
03BNGC15,03BNGC,1991,513,236,277,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,,
03BNGC16,03BNGC,1991,401,182,219,0,0,0,0.0,0,0,0,0,0,0,0,0.0,4,3,2,4,0,0,0.0,0.0
03BNGC17,03BNGC,1991,436,182,254,0,0,0,0.0,0,0,0,0,0,0,0,0.0,1,1,1,0,0,0,,
03BNGC18,03BNGC,1991,439,211,228,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,,
03BNGC19,03BNGC,1991,290,125,165,0,0,0,0.0,0,0,0,0,0,0,0,0.0,1,1,0,1,0,0,0.0,0.0
03BNGC20,03BNGC,1991,435,209,226,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,,
03BNGC21,03BNGC,1991,570,280,290,9,5,4,1.5789473684210527,1,3,0,2,0,0,3,0.5263157894736842,3,2,0,2,0,1,0.0,50.0
03BNGC22,03BNGC,1991,491,226,265,0,0,0,0.0,0,0,0,0,0,0,0,0.0,3,3,0,1,0,0,0.0,0.0
03BNGC23,03BNGC,1991,480,223,257,1,1,0,0.20833333333333334,0,0,0,2,0,0,0,0.0,1,1,0,0,0,0,,
03BNGC24,03BNGC,1991,435,223,212,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,,
03BNGC25,03BNGC,1991,535,262,273,0,0,0,0.0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,,
03BNGD01,03BNGD,1991,524,217,307,0,0,0,0.0,0,0,0,0,0,0,0,0.0,1,1,0,1,0,0,0.0,0.0
03BNGD02,03BNGD,1991,440,207,233,0,0,0,0.0,0,0,0,0,0,0,0,0.0,4,4,0,4,0,2,0.0,50.0
03BNGD03,03BNGD,1991,434,192,242,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,,
03BNGD04,03BNGD,1991,494,222,272,0,0,0,0.0,0,0,0,0,0,0,0,0.0,3,1,0,0,0,0,,
03BNGD05,03BNGD,1991,513,253,260,0,0,0,0.0,0,0,0,0,0,0,0,0.0,8,4,2,5,0,2,0.0,40.0
03BNGD06,03BNGD,1991,446,200,246,0,0,0,0.0,0,0,0,0,0,0,0,0.0,7,5,3,4,0,0,0.0,0.0
03BNGD07,03BNGD,1991,485,231,254,1,0,1,0.20618556701030927,0,0,0,1,0,0,0,0.0,4,2,1,3,0,0,0.0,0.0
03BNGD08,03BNGD,1991,520,220,300,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,,
03BNGD09,03BNGD,1991,554,247,307,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,,
03BNGD10,03BNGD,1991,648,299,349,0,0,0,0.0,0,0,0,0,0,0,0,0.0,1,1,0,1,0,0,0.0,0.0
03BNGD11,03BNGD,1991,600,301,299,10,5,5,1.6666666666666667,2,4,0,4,0,0,0,0.0,11,9,1,5,1,1,20.0,20.0
03BNGD12,03BNGD,1991,612,281,331,1,0,1,0.16339869281045752,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,,
03BNGD13,03BNGD,1991,682,311,371,0,0,0,0.0,0,0,0,0,0,0,0,0.0,3,1,1,1,0,0,0.0,0.0
03BNGD14,03BNGD,1991,539,256,283,0,0,0,0.0,0,0,0,0,0,0,0,0.0,2,2,0,1,0,1,0.0,100.0
03BNGD15,03BNGD,1991,513,243,270,0,0,0,0.0,0,0,0,0,0,0,0,0.0,2,2,0,3,0,2,0.0,66.66666666666667
03BNGD16,03BNGD,1991,425,210,215,0,0,0,0.0,0,0,0,0,0,0,0,0.0,5,4,1,4,0,2,0.0,50.0
03BNGD17,03BNGD,1991,490,231,259,13,6,7,2.6530612244897958,4,1,5,2,0,0,4,0.8163265306122449,9,8,2,3,0,2,0.0,66.66666666666667
03BNGD18,03BNGD,1991,512,230,282,2,0,2,0.390625,0,0,0,1,0,0,0,0.0,8,6,2,4,0,2,0.0,50.0
03BNGD19,03BNGD,1991,505,219,286,10,4,6,1.9801980198019802,1,3,1,5,0,0,2,0.39603960396039606,8,6,0,3,0,2,0.0,66.66666666666667
03BNGD20,03BNGD,1991,555,271,284,0,0,0,0.0,0,0,0,0,0,0,0,0.0,1,1,0,1,0,0,0.0,0.0
03BNGD21,03BNGD,1991,595,273,322,6,2,4,1.0084033613445378,1,1,1,4,0,0,5,0.8403361344537815,8,6,0,5,0,5,0.0,100.0
03BNGD22,03BNGD,1991,510,239,271,0,0,0,0.0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,,
03BNGD23,03BNGD,1991,391,184,207,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,,
03BNGD24,03BNGD,1991,270,116,154,0,0,0,0.0,0,0,0,0,0,0,0,0.0,3,0,0,1,0,0,0.0,0.0
03BNGD25,03BNGD,1991,285,126,159,0,0,0,0.0,0,0,0,0,0,0,1,0.3508771929824561,1,1,0,1,0,0,0.0,0.0
03BNGD26,03BNGD,1991,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,,
03BNGE01,03BNGE,1991,377,185,192,0,0,0,0.0,0,0,0,0,0,0,0,0.0,3,3,1,2,0,2,0.0,100.0
03BNGE02,03BNGE,1991,314,158,156,0,0,0,0.0,0,0,0,0,0,0,0,0.0,5,4,0,2,0,0,0.0,0.0
03BNGE03,03BNGE,1991,610,307,303,9,6,3,1.4754098360655739,1,3,2,2,0,0,0,0.0,6,4,0,4,0,3,0.0,75.0
03BNGE04,03BNGE,1991,641,303,338,3,1,2,0.46801872074882994,0,0,1,2,0,0,0,0.0,18,10,4,8,0,5,0.0,62.5
03BNGE05,03BNGE,1991,217,111,106,0,0,0,0.0,0,0,0,0,0,0,0,0.0,3,3,3,2,1,0,50.0,0.0
03BNGE06,03BNGE,1991,175,88,87,3,2,1,1.7142857142857142,0,0,3,0,0,0,0,0.0,7,2,0,2,0,1,0.0,50.0
