"table_name","table_column_name","description"
S03EWS,S030096,Residential Homes (Non-NHS/LA/HA) // Not resident // Female // Persons // Establishments; persons present not in households
S03EWS,S030097,Residential Homes (Non-NHS/LA/HA) // Staff // Male // Persons // Establishments; persons present not in households
S03EWS,S030098,Residential Homes (Non-NHS/LA/HA) // Staff // Female // Persons // Establishments; persons present not in households
S03EWS,S030099,Residential Homes (Non-NHS/LA/HA) // Other residents // Male // Persons // Establishments; persons present not in households
S03EWS,S030100,Residential Homes (Non-NHS/LA/HA) // Other residents // Female // Persons // Establishments; persons present not in households
S03EWS,S030101,Children's Homes // TOTAL: establishments (counts unmodified) // Establishments // Establishments; persons present not in households
S03EWS,S030102,Children's Homes // TOTAL: Persons // Persons // Establishments; persons present not in households
S03EWS,S030103,Children's Homes // Male // Persons // Establishments; persons present not in households
S03EWS,S030104,Children's Homes // Female // Persons // Establishments; persons present not in households
S03EWS,S030105,Children's Homes // Not resident // Male // Persons // Establishments; persons present not in households
S03EWS,S030106,Children's Homes // Not resident // Female // Persons // Establishments; persons present not in households
S03EWS,S030107,Children's Homes // Staff // Male // Persons // Establishments; persons present not in households
S03EWS,S030108,Children's Homes // Staff // Female // Persons // Establishments; persons present not in households
S03EWS,S030109,Children's Homes // Other residents // Male // Persons // Establishments; persons present not in households
S03EWS,S030110,Children's Homes // Other residents // Female // Persons // Establishments; persons present not in households
S03EWS,S030111,"Detention, Defence, and Education Establishments // TOTAL: establishments (counts unmodified) // Establishments // Establishments; persons present not in households"
S03EWS,S030112,"Detention, Defence, and Education Establishments // TOTAL: Persons // Persons // Establishments; persons present not in households"
S03EWS,S030113,"Detention, Defence, and Education Establishments // Male // Persons // Establishments; persons present not in households"
S03EWS,S030114,"Detention, Defence, and Education Establishments // Female // Persons // Establishments; persons present not in households"
S03EWS,S030115,"Detention, Defence, and Education Establishments // Not resident // Male // Persons // Establishments; persons present not in households"
S03EWS,S030116,"Detention, Defence, and Education Establishments // Not resident // Female // Persons // Establishments; persons present not in households"
S03EWS,S030117,"Detention, Defence, and Education Establishments // Staff // Male // Persons // Establishments; persons present not in households"
S03EWS,S030118,"Detention, Defence, and Education Establishments // Staff // Female // Persons // Establishments; persons present not in households"
S03EWS,S030119,"Detention, Defence, and Education Establishments // Other residents // Male // Persons // Establishments; persons present not in households"
S03EWS,S030120,"Detention, Defence, and Education Establishments // Other residents // Female // Persons // Establishments; persons present not in households"
S03EWS,S030121,Prison Service Establishments // TOTAL: establishments (counts unmodified) // Establishments // Establishments; persons present not in households
S03EWS,S030122,Prison Service Establishments // TOTAL: Persons // Persons // Establishments; persons present not in households
S03EWS,S030123,Prison Service Establishments // Male // Persons // Establishments; persons present not in households
S03EWS,S030124,Prison Service Establishments // Female // Persons // Establishments; persons present not in households
S03EWS,S030125,Prison Service Establishments // Not resident // Male // Persons // Establishments; persons present not in households
S03EWS,S030126,Prison Service Establishments // Not resident // Female // Persons // Establishments; persons present not in households
S03EWS,S030127,Prison Service Establishments // Staff // Male // Persons // Establishments; persons present not in households
S03EWS,S030128,Prison Service Establishments // Staff // Female // Persons // Establishments; persons present not in households
S03EWS,S030129,Prison Service Establishments // Other residents // Male // Persons // Establishments; persons present not in households
S03EWS,S030130,Prison Service Establishments // Other residents // Female // Persons // Establishments; persons present not in households
