"table_file_name","table_column_name","description"
af002_ons,AF0020060,Age 15// Associated persons in households// Resident in this area 1 year ago but resident at a different address on census day// Females// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020061,Age 16 to 17// Household Reference Person (HRP)// All categories: Migration (Armed Forces)// Males// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020062,Age 16 to 17// Household Reference Person (HRP)// All categories: Migration (Armed Forces)// Females// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020063,Age 16 to 17// Associated persons in households// All categories: Migration (Armed Forces)// Males// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020064,Age 16 to 17// Associated persons in households// All categories: Migration (Armed Forces)// Females// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020065,Age 16 to 17// Household Reference Person (HRP)// All in wholly moving households// Males// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020066,Age 16 to 17// Household Reference Person (HRP)// All in wholly moving households// Females// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020067,Age 16 to 17// Associated persons in households// All in wholly moving households// Males// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020068,Age 16 to 17// Associated persons in households// All in wholly moving households// Females// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020069,Age 16 to 17// Household Reference Person (HRP)// Resident in this area 1 year ago but resident at a different address on census day// Males// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020070,Age 16 to 17// Household Reference Person (HRP)// Resident in this area 1 year ago but resident at a different address on census day// Females// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020071,Age 16 to 17// Associated persons in households// Resident in this area 1 year ago but resident at a different address on census day// Males// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020072,Age 16 to 17// Associated persons in households// Resident in this area 1 year ago but resident at a different address on census day// Females// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020073,Age 18 to 19// Household Reference Person (HRP)// All categories: Migration (Armed Forces)// Males// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020074,Age 18 to 19// Household Reference Person (HRP)// All categories: Migration (Armed Forces)// Females// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020075,Age 18 to 19// Associated persons in households// All categories: Migration (Armed Forces)// Males// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020076,Age 18 to 19// Associated persons in households// All categories: Migration (Armed Forces)// Females// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020077,Age 18 to 19// Household Reference Person (HRP)// All in wholly moving households// Males// Persons// All People Resident in Households with Armed Forces Personnel
af002_ons,AF0020078,Age 18 to 19// Household Reference Person (HRP)// All in wholly moving households// Females// Persons// All People Resident in Households with Armed Forces Personnel
